ID,TIPO,INSTITUCIO,CALLE,NUMERO,REFERENCIA,COLONIA,C_P_,Observacio,Alcaldía,geometry
1.0,TIENDAS DEPARTAMENTALES,"SANBORNS HERMANOS, S.A DE C.V.",Insurgentes Sur,2105,,Sn. Angel,01000,,Álvaro Obregón,POINT (480252.03089999966 2139217.3051999994)
2.0,TIENDAS DEPARTAMENTALES,Electra,Dr. Galvez,31,Esq. Revolución,Sn. Angel,01000,,Álvaro Obregón,POINT (479974.3383999998 2138843.6027000006)
3.0,TIENDAS DEPARTAMENTALES,"SANBORNS HERMANOS, S.A DE C.V.",Camino Desierto de los Leones,52,Esq. Revolución,Sn. Angel,01000,,Álvaro Obregón,POINT (480101.0208999999 2139431.6931999996)
4.0,PLAZAS COMERCIALES,,Insugentes Sur,1971,Entre Río Sn. Angel y Fernando Villapando,Guadalupe Inn.,01020,,Álvaro Obregón,POINT (480312.09360000025 2139786.1054999996)
5.0,CENTRO COMERCIAL,CENTRO COMERCIAL EL RELOX,Insurjentes Sur,2374,Entre Privada Relox y Loreto,Ermita,01070,,Álvaro Obregón,POINT (480062.11959999986 2138505.0043)
6.0,TIENDAS DEPARTAMENTALES,"SANBORNS HERMANOS, S.A DE C.V.",Av. Revolución,S/N,Esq. Río Magdalena,Ermita,01070,,Álvaro Obregón,POINT (479741.5636999998 2138352.2306999993)
7.0,TIENDAS DE AUTO SERVICIO,SAMS CLUB,Periférico Sur,630,Entre Luis Cabrera y Sn. Jerónimo,Jardines del Pedregal,01900,,Álvaro Obregón,POINT (478061.24149999954 2137428.568499999)
8.0,TIENDAS DE AUTO SERVICIO,"PRICE CLUB DE MÉXICO, S.A. DE C.V.",Blvr. Adolfo López Mateos,1181,Entre Sn. Antonio y Calle 10,Sn. Pedro de los Pinos,01180,,Álvaro Obregón,POINT (479958.4598000003 2143591.181500001)
9.0,TIENDAS DE AUTO SERVICIO,"BODEGA AURRERA,S.A. DE C.V.",Camino a Sta. Fé,644,Entre la Unidad Habitacional Boscoso y  la Unidad Habitacional Real del Bosque,El Cuernito,01220,,Álvaro Obregón,POINT (476609.62119999994 2143674.303200001)
10.0,TIENDAS DE AUTO SERVICIO,HOME  MART,Av. Central,175,Esq. Sta. Lucia,Alfonso Xlll,01460,,Álvaro Obregón,POINT (479019.9452999998 2142704.0286)
